data_type,movement_number,test_file,node_name,position,src,dst,tx,rx,loss_pct,avg_rtt_ms
movement,0,timeframe0.txt,sta1,"0.0, 10.0, 0.0",,,,,,
movement,0,timeframe0.txt,sta2,"0.0, -10.0, 0.0",,,,,,
movement,0,timeframe0.txt,sta3,"70.0, 10.0, 0.0",,,,,,
movement,0,timeframe0.txt,sta4,"70.0, -10.0, 0.0",,,,,,
movement,0,timeframe0.txt,ap1,"0.0, 0.0, 0.0",,,,,,
movement,0,timeframe0.txt,ap2,"70.0, 0.0, 0.0",,,,,,
movement,1,timeframe1.txt,sta1,"0.0, 5.0, 0.0",,,,,,
movement,1,timeframe1.txt,sta2,"0.0, 10.0, 0.0",,,,,,
movement,1,timeframe1.txt,sta3,"70.0, 5.0, 0.0",,,,,,
movement,1,timeframe1.txt,sta4,"70.0, -5.0, 0.0",,,,,,
movement,1,timeframe1.txt,ap1,"0.0, 0.0, 0.0",,,,,,
movement,1,timeframe1.txt,ap2,"70.0, 0.0, 0.0",,,,,,
movement,2,timeframe2.txt,sta1,"0.0, 15.0, 0.0",,,,,,
movement,2,timeframe2.txt,sta2,"0.0, -15.0, 0.0",,,,,,
movement,2,timeframe2.txt,sta3,"10.0, 10.0, 0.0",,,,,,
movement,2,timeframe2.txt,sta4,"80.0, 10.0, 0.0",,,,,,
movement,2,timeframe2.txt,ap1,"0.0, 0.0, 0.0",,,,,,
movement,2,timeframe2.txt,ap2,"70.0, 0.0, 0.0",,,,,,
