data_type,movement_number,test_file,node_name,position,src,dst,tx,rx,loss_pct,avg_rtt_ms
ping,0,timeframe0.txt,,,sta1,sta2,1,1,0,5.523
ping,0,timeframe0.txt,,,sta1,sta3,1,1,0,1.931
ping,0,timeframe0.txt,,,sta1,sta4,1,1,0,2.044
ping,0,timeframe0.txt,,,sta1,ap1,1,1,0,0.017
ping,0,timeframe0.txt,,,sta1,ap2,1,1,0,0.011
ping,0,timeframe0.txt,,,sta2,sta1,1,1,0,0.632
ping,0,timeframe0.txt,,,sta2,sta3,1,1,0,1.408
ping,0,timeframe0.txt,,,sta2,sta4,1,1,0,1.203
ping,0,timeframe0.txt,,,sta2,ap1,1,1,0,0.009
ping,0,timeframe0.txt,,,sta2,ap2,1,1,0,0.007
ping,0,timeframe0.txt,,,sta3,sta1,1,1,0,0.630
ping,0,timeframe0.txt,,,sta3,sta2,1,1,0,0.707
ping,0,timeframe0.txt,,,sta3,sta4,1,1,0,1.302
ping,0,timeframe0.txt,,,sta3,ap1,1,1,0,0.008
ping,0,timeframe0.txt,,,sta3,ap2,1,1,0,0.007
ping,0,timeframe0.txt,,,sta4,sta1,1,1,0,0.668
ping,0,timeframe0.txt,,,sta4,sta2,1,1,0,0.669
ping,0,timeframe0.txt,,,sta4,sta3,1,1,0,0.710
ping,0,timeframe0.txt,,,sta4,ap1,1,1,0,0.009
ping,0,timeframe0.txt,,,sta4,ap2,1,1,0,0.007
ping,0,timeframe0.txt,,,ap1,sta1,1,1,0,3.812
ping,0,timeframe0.txt,,,ap1,sta2,1,0,100,0
ping,0,timeframe0.txt,,,ap1,sta3,1,0,100,0
ping,0,timeframe0.txt,,,ap1,sta4,1,0,100,0
ping,0,timeframe0.txt,,,ap1,ap2,1,1,0,0.060
ping,0,timeframe0.txt,,,ap2,sta1,1,1,0,4.012
ping,0,timeframe0.txt,,,ap2,sta2,1,0,100,0
ping,0,timeframe0.txt,,,ap2,sta3,1,0,100,0
ping,0,timeframe0.txt,,,ap2,sta4,1,0,100,0
ping,0,timeframe0.txt,,,ap2,ap1,1,1,0,0.071
